hour,price
0,258.86
1,259.85
2,256.6
3,242.84
4,243.23
5,177.07
6,174.8
7,175
8,194.27
9,203.81
10,243.43
11,252.47
12,236.84
13,245.89
14,253.75
15,260.14
16,265.75
17,269.68
18,268.3
19,265.06
20,262.5
21,260.24
22,256.5
23,244.61
24,248.54
25,227.7
26,243.62
27,246.08
28,252.96
29,263.88
30,273.32
31,299.86
32,313.92
33,329.65
34,344.5
35,346.27
36,339.78
37,335.25
38,353.74
39,374.09
40,409.68
41,416.76
42,371.53
43,331.32
44,303.6
45,283.64
46,275.18
47,271.35
48,266.13
49,261.12
50,257.69
51,257.39
52,259.26
53,269.56
54,277.81
55,284.09
56,286.54
57,287.32
58,288.7
59,287.03
60,286.83
61,289.39
62,293.02
63,299.39
64,307.44
65,309.99
66,302.04
67,295.86
68,288.21
69,283.89
70,276.04
71,267.99
72,265.69
73,263.04
74,259.99
75,260.19
76,261.27
77,265.3
78,275.41
79,298.89
80,322.46
81,343.48
82,368.82
83,353.8
84,348.98
85,346.72
86,351.93
87,371.57
88,383.36
89,370.4
90,344.07
91,313.03
92,302.33
93,297.32
94,291.03
95,275.51
96,269.01
97,264.59
98,260.37
99,260.37
100,264.1
101,271.77
102,281.49
103,299.08
104,319.61
105,329.34
106,327.28
107,324.04
108,323.05
109,322.66
110,322.95
111,329.14
112,344.86
113,366.48
114,334.06
115,316.86
116,309.59
117,307.04
118,299.08
119,291.22
120,289.28
121,280.44
122,276.81
123,275.04
124,276.51
125,281.91
126,289.58
127,298.12
128,298.42
129,303.52
130,313.25
131,322.78
132,316
133,312.27
134,312.07
135,324.64
136,358.24
137,358.83
138,338.4
139,313.64
140,305.1
141,301.76
142,294.49
143,285.16
144,270.5
145,254.02
146,253.93
147,256.57
148,260.89
149,266.19
150,269.03
151,271.58
152,273.93
153,277.86
154,282.37
155,283.94
156,284.04
157,277.27
158,277.47
159,280.7
160,288.16
161,302.87
162,309.05
163,305.22
164,293.84
165,283.84
166,283.45
167,270.4
168,245.49
169,235
170,234.6
171,249.91
172,256.18
173,274.23
174,290.51
175,321.01
176,323.46
177,327
178,324.25
179,325.13
180,324.25
181,322.68
182,324.05
183,325.62
184,327.58
185,322.68
186,318.76
187,305.61
188,291.1
189,283.64
190,279.43
191,275.5
192,266.59
193,248.14
194,248.24
195,260.8
196,267.47
197,277.18
198,284.44
199,309.46
200,319.18
201,316.53
202,315.25
203,317.12
204,314.37
205,312.02
206,308.78
207,308.09
208,316.43
209,322.51
210,318.29
211,309.07
212,300.14
213,295.83
214,286.8
215,280.23
216,283.72
217,278.12
218,274.68
219,270.94
220,275.56
221,296.5
222,329.61
223,432.51
224,471.52
225,471.52
226,472.11
227,469.56
228,462.78
229,433.88
230,451.77
231,460.22
232,480.56
233,510.05
234,517.81
235,441.65
236,390.35
237,351.92
238,313.69
239,298.17
240,304.58
241,294.95
242,293.28
243,294.36
244,303.99
245,326.48
246,364.1
247,504.55
248,546.59
249,541.28
250,541.48
251,535.98
252,519.19
253,460.35
254,490.21
255,513.49
256,538.34
257,553.76
258,548.75
259,393.47
260,345.14
261,325.5
262,304.97
263,295.25
264,293.51
265,287.83
266,285.68
267,285.48
268,289.59
269,305.44
270,325.01
271,432.33
272,460.61
273,433.9
274,426.27
275,425
276,387.23
277,368.15
278,359.35
279,344.38
280,387.04
281,401.61
282,376.47
283,323.93
284,308.77
285,307.69
286,297.03
287,289
288,296.83
289,291.71
290,287.08
291,284.82
292,283.44
293,285.31
294,288.95
295,298.11
296,303.72
297,310.22
298,313.17
299,313.96
300,313.86
301,313.56
302,309.03
303,308.44
304,333.94
305,373.72
306,361.41
307,315.73
308,301.16
309,293.38
310,288.85
311,283.54
312,284.31
313,279.79
314,276.05
315,275.16
316,274.18
317,275.56
318,278.9
319,280.87
320,283.62
321,289.33
322,292.58
323,296.41
324,293.26
325,289.62
326,294.54
327,308.12
328,327.3
329,334.29
330,319.73
331,308.71
332,300.54
333,292.08
334,288.54
335,283.53
336,264.64
337,242.11
338,227.25
339,205.51
340,267.1
341,282.74
342,295.92
343,318.25
344,329.57
345,320.42
346,310.28
347,298.09
348,289.53
349,288.15
350,289.43
351,287.66
352,288.74
353,295.23
354,289.13
355,286.87
356,283.92
357,275.75
358,243.09
359,162.62
360,257.02
361,233.82
362,200.48
363,211.5
364,232.93
365,274.43
366,285.83
367,311.2
368,322.11
369,324.47
370,323.69
371,324.18
372,323.39
373,323.49
374,323.39
375,332.14
376,360.26
377,351.22
378,355.94
379,334.21
380,312.48
381,301.76
382,288.88
383,274.13
384,276.53
385,272.7
386,270.54
387,269.95
388,274.27
389,285.48
390,309.26
391,383.65
392,441.73
393,417.55
394,391.9
395,383.16
396,341.49
397,319.77
398,318.2
399,325.38
400,373.82
401,382.27
402,377.75
403,336.68
404,306.61
405,300.41
406,294.03
407,288.23
408,286.58
409,281.46
410,280.08
411,278.9
412,282.93
413,294.45
414,307.05
415,422.48
416,414.81
417,413.33
418,402.6
419,387.15
420,368.16
421,352.51
422,342.97
423,361.47
424,387.35
425,414.81
426,413.72
427,408.31
428,383.12
429,337.55
430,320.53
431,299.66
432,294.81
433,294.52
434,289.8
435,290.49
436,295.01
437,312.11
438,384.53
439,489.88
440,510.41
441,494.89
442,487.22
443,460.69
444,422.46
445,409.49
446,388.07
447,410.57
448,435.34
449,479.66
450,472.48
451,404.77
452,381.58
453,363.01
454,352.2
455,320.46
456,302.98
457,292.07
458,287.95
459,285.1
460,284.8
461,287.26
462,291.68
463,303.18
464,325
465,364.5
466,372.95
467,399.78
468,364.31
469,334.23
470,333.74
471,375.8
472,400.96
473,397.92
474,373.94
475,363.32
476,316.05
477,320.87
478,317.82
479,312.02
480,311.92
481,298.95
482,287.44
483,282.23
484,283.12
485,285.58
486,289.8
487,302.29
488,314.97
489,338.66
490,373.07
491,392.73
492,389.48
493,362.35
494,332.66
495,340.33
496,373.95
497,422.02
498,472.65
499,421.93
500,359.4
501,319.79
502,316.35
503,300.03
504,287.64
505,280.96
506,278.99
507,280.46
508,284.49
509,292.26
510,326.37
511,422.22
512,465.97
513,451.22
514,442.18
515,475.7
516,462.03
517,465.87
518,455.55
519,431.95
520,432.44
521,498.6
522,501.36
523,472.36
524,420.94
525,383.29
526,355.86
527,329.32
528,328.29
529,312.16
530,302.72
531,298.78
532,304.59
533,319.44
534,383.95
535,481.22
536,518.69
537,499.51
538,462.63
539,431.06
540,393.99
541,366.65
542,359.86
543,359.96
544,339.7
545,364.09
546,324.45
547,321.5
548,304.78
549,291.31
550,282.46
551,276.46
552,267.48
553,265.12
554,248.28
555,252.32
556,255.17
557,269.75
558,283.93
559,314.56
560,318.99
561,313.97
562,301.07
563,294.47
564,293.68
565,289.54
566,289.15
567,289.05
568,288.85
569,292.5
570,288.26
571,286
572,280.19
573,277.23
574,246.6
575,153.54
576,214.07
577,155.93
578,149.34
579,175.12
580,221.55
581,255.79
582,276.64
583,297.11
584,304.49
585,304.58
586,303.6
587,299.96
588,297.3
589,297.99
590,299.37
591,303.5
592,313.14
593,328.39
594,326.52
595,316.19
596,309.7
597,302.22
598,292.29
599,285.11
600,287.3
601,284.45
602,283.96
603,285.53
604,289.94
605,295.34
606,306.23
607,329.39
608,349.11
609,338.61
610,348.62
611,334.49
612,327.23
613,323.11
614,322.03
615,320.36
616,329.09
617,377.27
618,345.48
619,326.25
620,318.4
621,309.57
622,300.74
623,296.22
624,302.04
625,296.35
626,294.29
627,294.09
628,296.45
629,301.84
630,301.64
631,301.64
632,309.39
633,320.77
634,336.85
635,332.93
636,321.36
637,313.71
638,308.51
639,304.78
640,306.84
641,351.46
642,319.98
643,313.41
644,294.19
645,284.78
646,281.35
647,276.83
648,275.95
649,271.16
650,262.94
651,260.1
652,261.38
653,264.99
654,268.32
655,269.01
656,272.82
657,274.58
658,280.55
659,281.04
660,280.45
661,279.08
662,275.75
663,279.57
664,281.92
665,286.12
666,286.71
667,283.97
668,281.72
669,279.57
670,273.5
671,269.79
672,270.67
673,263.14
674,255.8
675,268.32
676,271.35
677,279.37
678,291.21
679,301.09
680,302.26
681,299.33
682,298.94
683,298.55
684,297.47
685,296.79
686,296.79
687,298.55
688,299.33
689,312.83
690,327.11
